"","Type","AccumulationType","Individuals","Cranium","Mandible","Cervical","Thoracic","Lumbar","Sacrum","Sternum","Clavicle","Rib","Scapula","Humerus","Radius","Ulna","Carpal","Metacarpal","Innominate","Femur","Patella","Tibia","Fibula","Tarsal","Metatarsal","Hand phalanx","Foot phalanx","Hand (metacarpals + manual phalanges)","Foot (metatarsals + pedal phalanges)"
"5MT_10010_Feature_3","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",5,88.8888888888889,66.6666666666667,38.0952380952381,38.8888888888889,48.8888888888889,22.2222222222222,0,44.4444444444444,56.4814814814815,100,66.6666666666667,66.6666666666667,66.6666666666667,12.5,40,44.4444444444444,33.3333333333333,11.1111111111111,44.4444444444444,44.4444444444444,17.4603174603175,28.8888888888889,47.6190476190476,12.6984126984127,45.6140350877193,16.9590643274854
"El_Miron","Possible Primary hominin interment","Burial",1,100,100,57.1428571428571,66.6666666666667,40,0,0,50,58.3333333333333,100,0,0,0,37.5,40,100,0,100,50,100,42.8571428571429,70,46.4285714285714,75,44.7368421052632,73.6842105263158
"La_Tolita_Cama_de_Huesos","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",11,63.1578947368421,94.7368421052632,3.00751879699248,19.2982456140351,27.3684210526316,31.5789473684211,31.5789473684211,36.8421052631579,14.0350877192982,31.5789473684211,78.9473684210526,31.5789473684211,63.1578947368421,3.28947368421053,8.42105263157895,68.4210526315789,100,15.7894736842105,94.7368421052632,94.7368421052632,14.2857142857143,18.9473684210526,5.26315789473684,2.63157894736842,6.09418282548476,6.92520775623269
"Crow_Creek","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",476,58.1932773109244,64.9159663865546,39.5558223289316,54.8319327731093,62.9411764705882,72.8991596638655,9.2436974789916,20.6932773109244,21.9275210084034,47.5840336134454,41.281512605042,24.5798319327731,26.3655462184874,1.22111344537815,1.07142857142857,100,74.1596638655462,3.99159663865546,53.046218487395,44.7478991596639,8.22328931572629,6.17647058823529,0.330132052821128,0.0825330132052821,0.525210084033613,1.68620079610792
"Krapina","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",43,100,60,15.7142857142857,5,21,0,0,25,13.125,32.5,32.5,22.5,17.5,0.3125,2,30,35,37.5,32.5,35,6.42857142857143,6,8.57142857142857,5.71428571428571,6.8421052631579,5.78947368421053
"Liang_Bua_Layer_R","Nonanthropogenic hominin accumulation","Non-human/ non-carnivore intervention",2,66.6666666666667,66.6666666666667,9.52380952380952,5.55555555555556,13.3333333333333,0,66.6666666666667,33.3333333333333,2.77777777777778,0,33.3333333333333,0,66.6666666666667,20.8333333333333,6.66666666666667,66.6666666666667,66.6666666666667,66.6666666666667,100,66.6666666666667,47.6190476190476,66.6666666666667,11.9047619047619,23.8095238095238,10.5263157894737,35.0877192982456
"Liang_Bua_Layer_OQ","Nonanthropogenic hominin accumulation","Non-human/ non-carnivore intervention",6,0,100,14.2857142857143,0,0,0,0,0,0,50,0,50,50,18.75,20,0,0,50,0,0,0,0,28.5714285714286,0,26.3157894736842,0
"Dmanisi_Layer_B1y","Nonanthropogenic hominin accumulation","Non-human/ non-carnivore intervention",4,100,75,0,0,0,0,0,25,2.08333333333333,12.5,12.5,0,0,0,0,0,12.5,12.5,12.5,0,3.57142857142857,17.5,1.78571428571429,0.892857142857143,0.657894736842105,7.89473684210526
"Malapa","Nonanthropogenic hominin accumulation","Non-human/ non-carnivore intervention",1,100,100,14.2857142857143,25,0,0,100,100,12.5,100,100,50,50,43.75,50,100,50,50,100,100,14.2857142857143,0,53.5714285714286,7.14285714285714,52.6315789473684,5.26315789473684
"AL_333","Nonanthropogenic hominin accumulation","Non-human/ non-carnivore intervention",13,66.6666666666667,100,9.52380952380952,2.77777777777778,3.33333333333333,0,0,16.6666666666667,2.77777777777778,0,33.3333333333333,8.33333333333333,33.3333333333333,4.16666666666667,31.6666666666667,0,41.6666666666667,0,33.3333333333333,33.3333333333333,10.7142857142857,11.6666666666667,14.8809523809524,13.6904761904762,19.2982456140351,13.1578947368421
"Unscavenged_human_corpses_WA","Unscavenged human corpses","Non-human/ non-carnivore intervention",17,84.2105263157895,89.4736842105263,89.4736842105263,89.0350877192983,84.2105263157895,89.4736842105263,73.6842105263158,28.9473684210526,88.1578947368421,84.2105263157895,84.2105263157895,100,81.5789473684211,63.1578947368421,NA,89.4736842105263,89.4736842105263,76.3157894736842,86.8421052631579,86.8421052631579,43.2330827067669,NA,NA,NA,64.6814404432133,56.2326869806094
"Scavenged_human_corpses_WA","Scavenged human corpses","Carnivore intervention",45,100,88.6363636363636,73.7012987012987,79.1666666666667,81.8181818181818,77.2727272727273,61.3636363636364,61.3636363636364,71.3068181818182,62.5,54.5454545454545,50,44.3181818181818,26.7045454545455,NA,78.4090909090909,73.8636363636364,38.6363636363636,64.7727272727273,57.9545454545455,27.7597402597403,NA,NA,NA,26.6746411483254,35.5861244019139
"Scavenged_human_corpses_NM","Scavenged human corpses","Carnivore intervention",7,100,85.7142857142857,36.734693877551,21.4285714285714,37.1428571428571,42.8571428571429,0,28.5714285714286,4.16666666666667,42.8571428571429,28.5714285714286,14.2857142857143,28.5714285714286,0.892857142857143,NA,71.4285714285714,71.4285714285714,21.4285714285714,42.8571428571429,35.7142857142857,9.18367346938776,NA,NA,NA,8.64661654135338,3.38345864661654
"Scavenged_human_corpse_NC","Scavenged human corpses","Carnivore intervention",1,100,100,20,91.6666666666667,100,100,0,100,70.8333333333333,100,100,0,50,0,0,100,100,100,100,100,100,100,0,100,0,100
"Mapungubwe_leopard_kills","Leopard refuse","Carnivore intervention",7,100,85.7142857142857,26.530612244898,38.0952380952381,85.7142857142857,57.1428571428571,28.5714285714286,14.2857142857143,55.3571428571429,50,85.7142857142857,78.5714285714286,85.7142857142857,21.4285714285714,21.4285714285714,71.4285714285714,92.8571428571429,21.4285714285714,78.5714285714286,64.2857142857143,26.530612244898,22.8571428571429,19.8979591836735,19.8979591836735,20.3007518796992,20.6766917293233
"Leopard_refuse","Leopard refuse","Carnivore intervention",8,100,100,23.2142857142857,20,25.390625,50,0,0,28.6458333333333,50,93.75,68.75,68.75,18.75,25,62.5,93.75,0,93.75,68.75,31.25,25,26.3392857142857,26.3392857142857,25.9868421052632,25.9868421052632
"Misgrot_Cave","Natural Baboon accumulation","Non-human/ non-carnivore intervention",7,100,57.1428571428571,38.7755102040816,27.4285714285714,22.3214285714286,28.5714285714286,14.2857142857143,21.4285714285714,24.4047619047619,71.4285714285714,71.4285714285714,42.8571428571429,57.1428571428571,19.047619047619,21.4285714285714,42.8571428571429,71.4285714285714,14.2857142857143,35.7142857142857,14.2857142857143,14.2857142857143,21.4285714285714,19.1326530612245,19.1326530612245,19.7368421052632,19.7368421052632
"Sima_de_los_Huesos","Possible hominin deliberate disposal","Burial",18,86.6666666666667,100,40,25.5555555555556,25.3333333333333,33.3333333333333,26.6666666666667,30,16.6666666666667,46.6666666666667,40,46.6666666666667,43.3333333333333,39.1666666666667,24,60,30,36.6666666666667,33.3333333333333,30,49.5238095238095,22,50,36.4285714285714,43.1578947368421,32.6315789473684
"Dinaledi","Possible hominin deliberate disposal","Burial",13,85.7142857142857,100,14.2857142857143,15.4761904761905,8.57142857142857,14.2857142857143,14.2857142857143,35.7142857142857,16.6666666666667,42.8571428571429,57.1428571428571,42.8571428571429,35.7142857142857,15.1785714285714,32.8571428571429,64.2857142857143,100,28.5714285714286,64.2857142857143,57.1428571428571,34.6938775510204,30,38.7755102040816,16.3265306122449,34.9624060150376,24.812030075188
