"","Type","AccumulationType","Individuals","Cranium","Mandible","Cervical","Thoracic","Lumbar","Sacrum","Sternum","Clavicle","Rib","Scapula","Humerus","Radius","Ulna","Carpal","Metacarpal","Innominate","Femur","Patella","Tibia","Fibula","Tarsal","Metatarsal","Hand phalanx","Foot phalanx","Hand (metacarpals + manual phalanges)","Foot (metatarsals + pedal phalanges)"
"Hummingbird_Pueblo_Pueblo_I","Primary hominin interment","Burial",6,100,100,71.4285714285714,95.8333333333333,83.3333333333333,100,100,100,95.8333333333333,100,100,100,100,72.9166666666667,88.3333333333333,100,100,91.6666666666667,100,100,86.9047619047619,80,77.3809523809524,6.54761904761905,80.2631578947368,25.8771929824561
"Pottery_Mound_Pueblo_IV","Primary hominin interment","Burial",49,77.5510204081633,69.3877551020408,74.0524781341108,76.8707482993197,78.7755102040816,79.5918367346939,0,82.6530612244898,76.6156462585034,79.5918367346939,74.4897959183673,78.5714285714286,75.5102040816327,66.3265306122449,84.8979591836735,78.5714285714286,87.7551020408163,69.3877551020408,67.3469387755102,69.3877551020408,63.265306122449,79.5918367346939,59.1107871720117,30.8309037900875,65.8968850698174,43.6627282491944
"Kuaua_Pueblo_Pueblo_IV","Primary hominin interment","Burial",84,80.9523809523809,76.1904761904762,48.9795918367347,52.9761904761905,60,61.9047619047619,0,61.3095238095238,49.2559523809524,62.5,76.7857142857143,72.0238095238095,64.8809523809524,28.8690476190476,56.1904761904762,71.4285714285714,79.1666666666667,45.8333333333333,72.0238095238095,61.9047619047619,48.6394557823129,53.3333333333333,30.6547619047619,17.984693877551,37.374686716792,27.2869674185464
"Dolni_Vestonice_I_DV_3","Primary hominin interment","Burial",1,100,100,100,100,100,100,0,100,100,100,100,100,100,50,100,100,100,100,100,100,50,40,50,21.4285714285714,63.1578947368421,26.3157894736842
"Dolni_Vestonice_IITriple_Burial","Primary hominin interment","Burial",2,100,100,100,100,100,100,100,100,97.9166666666667,100,100,100,100,12.5,35,100,100,100,100,100,32.1428571428571,35,28.5714285714286,5.35714285714286,30.2631578947368,13.1578947368421
"Skhul_Layer_B","Possible Primary hominin interment","Burial",6,83.3333333333333,83.3333333333333,16.6666666666667,33.3333333333333,40,50,33.3333333333333,50,22.9166666666667,33.3333333333333,75,66.6666666666667,75,22.9166666666667,23.3333333333333,58.3333333333333,66.6666666666667,16.6666666666667,75,58.3333333333333,26.1904761904762,20,12.5,10.1190476190476,15.3508771929825,12.719298245614
"Qafzeh_Couche_XVII","Possible Primary hominin interment","Burial",2,100,100,14.2857142857143,0,0,50,50,50,50,50,75,75,75,75,75,75,100,50,100,100,100,100,78.5714285714286,89.2857142857143,77.6315789473684,92.1052631578947
"Regourdou","Possible Primary hominin interment","Burial",1,0,100,100,75,80,100,100,100,25,0,100,100,100,43.75,80,100,50,100,50,100,28.5714285714286,30,82.1428571428571,39.2857142857143,81.5789473684211,36.8421052631579
"La_Chapelle_aux_Saints","Possible Primary hominin interment","Burial",1,100,100,85.7142857142857,75,80,100,0,50,41.6666666666667,50,100,100,100,12.5,40,100,100,100,100,50,14.2857142857143,80,7.14285714285714,7.14285714285714,15.7894736842105,26.3157894736842
"Tabun_Layer_C","Possible Primary hominin interment","Burial",1,100,100,0,66.6666666666667,0,0,100,100,83.3333333333333,50,100,50,100,43.75,50,100,100,0,100,100,92.8571428571429,60,17.8571428571429,17.8571428571429,26.3157894736842,28.9473684210526
"Shanidar_Layer_D_Upper","Possible Primary hominin interment","Burial",3,100,66.6666666666667,23.8095238095238,61.1111111111111,66.6666666666667,66.6666666666667,0,66.6666666666667,58.3333333333333,83.3333333333333,66.6666666666667,50,83.3333333333333,22.9166666666667,36.6666666666667,83.3333333333333,66.6666666666667,66.6666666666667,100,100,59.5238095238095,50,13.0952380952381,3.57142857142857,25.4385964912281,15.7894736842105
"Shanidar_Layer_D_Lower","Possible Primary hominin interment","Burial",4,100,75,42.8571428571429,31.25,60,25,25,0,20.8333333333333,50,75,62.5,50,20.3125,37.5,37.5,50,25,62.5,75,23.2142857142857,42.5,25,23.2142857142857,28.2894736842105,29.6052631578947
"Kebara_Couche_XII","Possible Primary hominin interment","Burial",1,100,100,100,100,100,100,100,100,100,100,100,100,100,93.75,90,100,50,0,0,0,0,0,78.5714285714286,0,81.5789473684211,0
"Fontbregoua_H1","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",7,100,85.7142857142857,8.16326530612245,0,0,0,0,21.4285714285714,0,14.2857142857143,21.4285714285714,14.2857142857143,0,0,0,0,21.4285714285714,0,14.2857142857143,21.4285714285714,2.04081632653061,0,3.57142857142857,1.02040816326531,2.63157894736842,0.75187969924812
"Fontbregoua_H3","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",6,0,0,4.76190476190476,0,0,16.6666666666667,0,25,6.25,50,50,33.3333333333333,41.6666666666667,0,0,8.33333333333333,33.3333333333333,0,75,25,0,0,1.19047619047619,0,0.87719298245614,0
"Gran_Dolina_TD6","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",2,0,100,14.2857142857143,0,0,0,0,25,14.5833333333333,0,25,50,0,6.25,10,0,25,50,0,0,7.14285714285714,15,8.92857142857143,12.5,9.21052631578947,13.1578947368421
"El_Mirador_MIR4A","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",5,100,80,2.85714285714286,10,8,0,0,0,5.83333333333333,10,10,0,20,1.25,2,0,10,0,20,20,4.28571428571429,0,0,0,0.526315789473684,0
"Gough's_Cave","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",3,66.6666666666667,100,46.6666666666667,8.33333333333333,0,0,0,50,47.2222222222222,66.6666666666667,83.3333333333333,66.6666666666667,100,0,3.33333333333333,33.3333333333333,83.3333333333333,0,50,50,4.76190476190476,0,1.19047619047619,0,1.75438596491228,0
"5MT_3","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",10,40,80,30,4.16666666666667,6,10,10,60,14.1666666666667,15,30,30,25,11.25,17,30,25,15,30,40,17.1428571428571,29,12.6785714285714,12.6785714285714,13.8157894736842,16.9736842105263
"5MT_10010_Feature_3","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",5,80,60,34.2857142857143,35,44,20,0,40,50.8333333333333,90,60,60,60,11.25,36,40,30,10,40,40,15.7142857142857,26,42.8571428571429,11.4285714285714,41.0526315789474,15.2631578947368
